Category;CategoryName;CurrencyCode;DimensionDepth;DimensionHeight;DimensionUnit;DimensionWidth;LongDescription;Name;Price;ProductID;QuantityUnit;ShortDescription;Supplier_SupplierID;Weight;WeightUnit;Picture
Tablets;Tablets;EUR;310;45;cm;480;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage, 4325 mAh battery (Up to 8 hours of active use);Mini Tablet;833.00;1624865;EA;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage, 4325 mAh battery (Up to 8 hours of active use);100000050;38;KG;
Portable Players;Portable Players;EUR;165;140;cm;210;9 inch LCD Screen, storage holds up to 8 hours, 2 speakers included;Portable DVD Player with 9 inch LCD Monitor;853.99;1624866;EA;9 inch LCD Screen, storage holds up to 8 hours, 2 speakers included;100000047;720;KG;
Software;Software;EUR;15;190;cm;120;Complete package, 1 User, bring your money in your mind, see what you have and what you want;Smart Money;29.90;1624867;EA;Complete package, 1 User, bring your money in your mind, see what you have and what you want;100000049;5;KG;
Smartphones;Smartphones;EUR;150;15;cm;90;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;Cerdik Phone 7;549.00;1624868;EA;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;100000044;750;KG;
Telecommunications;Telecommunications;EUR;180;50;cm;193;Wireless DSL Router (available in blue, black and silver);Wireless DSL Router;49.00;1624869;EA;Wireless DSL Router (available in blue, black and silver);100000042;450;KG;
Speakers;Speakers;EUR;104;181;cm;124;PC multimedia speakers - optimized for Blutooth A2DP;Sound Booster;45.00;1624870;EA;PC multimedia speakers - optimized for Blutooth A2DP;100000043;21;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;190;430;cm;408;Optimum Hi-Resolution max 2560 x 1440 @ 85Hz, Dot Pitch: 025mm;Ergo Screen E-III;345.00;1624871;EA;Optimum Hi-Resolution max 2560 x 1440 @ 85Hz, Dot Pitch: 025mm;100000046;210;KG;
Graphic Cards;Graphic Cards;EUR;350;170;cm;220;Hurricane GX LN: PCI-E 691 GFLOPS game-optimized, low-noise;Hurricane GX LN;139.99;1624872;EA;Hurricane GX LN: PCI-E 691 GFLOPS game-optimized, low-noise;100000045;4;KG;
Tablets;Tablets;EUR;210;35;cm;380;8-inch Multitouch HD Screen (2000 x 1500) 32GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 15 GHz Quad-Core Processor;Cepat Tablet 8;529.00;1624873;EA;8-inch Multitouch HD Screen (2000 x 1500) 32GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 15 GHz Quad-Core Processor;100000048;25;KG;
Accessories;Accessories;EUR;400;45;cm;250;Stylish tablet pouch, protects from scratches, color: black;Tablet Pouch;20.00;1624874;EA;Stylish tablet pouch, protects from scratches, color: black;100000050;30;KG;
Keyboards;Keyboards;EUR;230;40;cm;514;Cordless Bluetooth Keyboard with English keys;Cordless Bluetooth Keyboard, english international;29.00;1624875;EA;Cordless Bluetooth Keyboard with English keys;100000047;10;KG;
Speakers;Speakers;EUR;110;175;cm;130;PC multimedia speakers - 10 Watt (Total) - 2-way;Blaster Extreme;26.00;1624876;EA;PC multimedia speakers - 10 Watt (Total) - 2-way;100000049;14;KG;
Mice;Mice;EUR;70;40;cm;30;Optical USB Mouse, Color: Red, 5-button-functionality(incl Scroll wheel), Plug;Track Mouse;11.00;1624877;EA;Optical USB Mouse, Color: Red, 5-button-functionality(incl Scroll wheel), Plug;100000044;30;KG;
MP3 Players;MP3 Players;EUR;60;8;cm;40;MP3-Player with 80 GB SSD and Color Display, can play movies;Power Pro Player 80;290.00;1624878;EA;MP3-Player with 80 GB SSD and Color Display, can play movies;100000042;2670;G;
Computer System Accessories;Computer System Accessories;EUR;80;43;cm;200;Robust 3m anti-burglary protection for your laptop computer;PC Lock;29.00;1624879;EA;Robust 3m anti-burglary protection for your laptop computer;100000043;30;KG;
PCs;PCs;EUR;280;420;cm;270;3,4 Ghz quad core, 16 GB DDR3 SDRAM, 4000 GB Hard Disc, Graphic Card: Hurricane GX, Windows 8;Gaming Monster Pro;1700.00;1624880;EA;3,4 Ghz quad core, 16 GB DDR3 SDRAM, 4000 GB Hard Disc, Graphic Card: Hurricane GX, Windows 8;100000046;68;KG;
Projectors;Projectors;EUR;231;230;cm;304;720p, DLP Projector max 8,45 Meter, 2D;Beam Breaker B-1;469.00;1624881;EA;720p, DLP Projector max 8,45 Meter, 2D;100000045;17;KG;
Notebooks;Notebooks;EUR;180;30;cm;300;Flexible Laptop with 2,5 GHz Dual Core, 14 inch HD+ TN, 8 GB DDR SDRAM, 324 GB SSD, Windows 10 Pro;Benda Laptop 1408;976.00;1624882;EA;Flexible Laptop with 2,5 GHz Dual Core, 14 inch HD+ TN, 8 GB DDR SDRAM, 324 GB SSD, Windows 10 Pro;100000048;42;KG;
Notebooks;Notebooks;EUR;230;20;cm;330;Notebook Professional 17 with 2,80 GHz quad core, 17 inch Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer,Windows 8 Pro;Notebook Professional 17;2299.00;1624883;EA;Notebook Professional 17 with 2,80 GHz quad core, 17 inch Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer,Windows 8 Pro;100000050;41;KG;
Software;Software;EUR;67;240;cm;140;Complete package, 1 User, Image editing, processing;Smart Design;79.90;1624884;EA;Complete package, 1 User, Image editing, processing;100000047;8;KG;
Ink Jet Printers;Ink Jet Printers;EUR;410;280;cm;410;4800 dpi x 1200 dpi - up to 35 ppm (mono) up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB, Ethernet;Ultra Jet Super Color;139.00;1624885;EA;4800 dpi x 1200 dpi - up to 35 ppm (mono) up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB, Ethernet;100000049;30;KG;
Portable Players;Portable Players;EUR;240;60;cm;370;MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;Play Movie;130.00;1624886;EA;MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;100000044;24;KG;
Keyboards;Keyboards;EUR;230;40;cm;514;Corded Ergonomic Keyboard with special keys for Media Usability, USB;Media Keyboard;26.00;1624887;EA;Corded Ergonomic Keyboard with special keys for Media Usability, USB;100000042;23;KG;
Ink Jet Printers;Ink Jet Printers;EUR;410;280;cm;410;4800 dpi x 1200 dpi - up to 35 ppm (mono)  up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB20, Ethernet;Ultra Jet Super Highspeed;170.00;1624888;EA;4800 dpi x 1200 dpi - up to 35 ppm (mono)  up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB20, Ethernet;100000043;180;KG;
Portable Players;Portable Players;EUR;195;290;cm;240;10 inch LCD Screen, storage battery holds up to 8 hours;10 inch Portable DVD player;449.99;1624889;EA;10 inch LCD Screen, storage battery holds up to 8 hours;100000046;840;KG;
Camcorders;Camcorders;EUR;310;270;cm;480;1920x1080 Full HD, image stabilization reduces blur, 27x Optical 32x Extended Zoom, wide angle Lens, 27 inch wide LCD display;Camcorder View;1388.00;1624890;EA;1920x1080 Full HD, image stabilization reduces blur, 27x Optical 32x Extended Zoom, wide angle Lens, 27 inch wide LCD display;100000045;38;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;120;380;cm;390;Optimum Hi-Resolution Widescreen max 2048 x 1080 @ 85Hz, Dot Pitch: 027mm, HDMI, D-Sub;Broad Screen 22HD;270.00;1624891;EA;Optimum Hi-Resolution Widescreen max 2048 x 1080 @ 85Hz, Dot Pitch: 027mm, HDMI, D-Sub;100000048;160;KG;
Projectors;Projectors;EUR;231;230;cm;304;1080p, DLP max 12,3 Meter, 3D-ready;Beam Breaker B-3;889.00;1624892;EA;1080p, DLP max 12,3 Meter, 3D-ready;100000050;25;KG;
Servers;Servers;EUR;273;370;cm;220;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 100Gb connectivity;Server Power Pro;25000.00;1624893;EA;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 100Gb connectivity;100000047;350;KG;
Scanners;Scanners;EUR;410;120;cm;330;Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;Jet Scan Professional;169.00;1624894;EA;Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;100000049;32;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;120;360;cm;370;Optimum Hi-Resolution Widescreen max 1920 x 1080 @ 85Hz, Dot Pitch: 027mm, HDMI, D-Sub;Bending Screen 21HD;250.00;1624895;EA;Optimum Hi-Resolution Widescreen max 1920 x 1080 @ 85Hz, Dot Pitch: 027mm, HDMI, D-Sub;100000044;150;KG;
Servers;Servers;EUR;350;230;cm;340;Dual socket, quad-core processing server with 1333 MHz Front Side Bus with 10Gb connectivity;Server Basic;5000.00;1624896;EA;Dual socket, quad-core processing server with 1333 MHz Front Side Bus with 10Gb connectivity;100000042;180;KG;
Computer System Accessories;Computer System Accessories;EUR;82;13;cm;90;Color webcam, color, High-Speed USB;Web cam reality;39.00;1624897;EA;Color webcam, color, High-Speed USB;100000043;75;KG;
Computer System Accessories;Computer System Accessories;EUR;102;130;cm;210;Quality cables for notebooks and projectors;Audio Video Cable Kit - 4m;29.99;1624898;EA;Quality cables for notebooks and projectors;100000046;2;KG;
